intent,question,answer
unsupported_request,Mortgage broker service,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Insurance claim filing,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Legal defense strategy,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Court case prediction,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,DNA test reading,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Gene editing guide,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Space travel booking,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Virtual reality game setup,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,NFT art creation,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Political campaign strategy,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
unsupported_request,Military tactics,"I’m designed to assist with banking-related services only. Please ask about banking, finance support, accounts, cards, loans, payments, or related services."
